MODERN-STANDARD-ARABIC,ALGIERS,ANNABA,SYRIAN,PALESTINIAN
>jl AHSly ElY fstAn jmyl w mA <lY *lk,Ayh <kry rwﭙـA $Abp w kdA,|h <kry gwb mlAHp w hkA,<y jyby w fstAn Hlw w hyk $y,Ah jybylk fstAn Hlw w All*y mnh
>nA dA}mA >lbs AlfsAtyn،  lA fstAn y$bh Al|xr ،kl wAHd lh $kl mxtlf w kl wAHd mn nwE mxtlf w b>slwb mxtlf,rAny EAm kAml gyr brwﭙـAt brk w rwﭙـA mA t$bh lrwﭙـA kl wHdp jwnr kl wHdp nwE kl wHdp w styl,>ny ElY AlEAm gyr blygwb brk w kl gwb mA t$bh lgwb kl wHdp mn zy kl wHdp nwE kl wHdp w styl,>nA bEmry mA blbs fstAn by$bh >xwh kl wAHd mwdyl w kl wAHd nwE mxtlf w >slwb mxtlf,>nA dA}mA blbs AlfsAtyn wlA fstAn by$bh AltAny kl wAHd lh $kl mxtlf w kl wAHd mn nwE mxtlf w b>slwb mxtlf
lA yA fryAl lA trAfqyhA bAl>swd،  AxtAry Allwn Al>byD >w $y}A mn h*A Alqbyl,bSH yA fryAl mA tm$y$ mEAhA bAlnwAr dyry bAlblwn kAsy HAjp hkA,bSH > fryAl mA tqwdy$ bAlnwAr dyry bAlblwn kAsy HAjp kym >k,lA yA fryAl lA tlbsy >swd AxtAry Allwn Al>byD >w hyk $y,lA yA fryAl lA trAfqyhA bAl>swd AxtAry Allwn Al>byD >w A$y zy hyk
<stEy*y mn Al$yTAn yA ftAp،  w mn Alty trAfq bAl>swd ؟hl >nt mjnwnp؟,yA bnty >nEly Al$yTAn w $kwn ly ym$y mEAhA bAlnwAr mhbwlp,yAh > bnty >nEly Al$yTAn w $kwn ly yqwd bAlnwAr mhbwlp,lA yA fryAl lA tlbsy >swd AxtAry Allwn Al>byD >w hyk $y,<stEy*y mn Al$yTAn yA bnt w myn Ally btrAfq bAl>swd Ant mjnwnp
lA، >qSd >nh ynAsbk,yEny Ayjyk mlyH,qAlt lk yEny >w Ayjyk mlyH hkA,AlEw* bAllh yA bnt w myn Ally btEml $bynp w btlbs >swd $w jnyty,<stEy*y mn Al$yTAn yA bnt w myn Ally btrAfq bAl>swd Ant mjnwnp
>jl،  lA،  HSlt ElY wAHd >byD hk*A  bAl>zhAr jmylp، jmylp، <smEy k>nh fstAn mlkp jmAl lbnAn EndmA AxtArwhA mlkp jmAl lbnAn,Ayh lAlA kryt wHdp blwn blyflwr hkA $Abp tAE mys lbnAn hdyk tAE wHd Almrp dArwhA mys lbnAn ky mdwlhA,>h lA >ny kryt wHdp blwn xlAh blyflwr hkA Trbq Trbq tAE wHdp tAE mys-lbnAn >dyk tAE wHd Almrp dArwhA mys-lbnAn ky mdwlhA,lA qSdy >nw  bylbqlk,lA qSdy Anh ynAsbk
>jl,Ayh,>h lA >ny kryt wHdp blwn xlAh blyflwr hkA Trbq Trbq tAE wHdp tAE mys-lbnAn >dyk tAE wHd Almrp dArwhA mys-lbnAn ky mdwlhA,>kyd lA jbt wAHd >byD bAlwrd hyk Hlw Hlw AsmEy k>nw fstAn mlkp jmAl lbnAn lmA AxtArw~A mlkp jmAl lbnAn,Ah lA jbt wAHd >byD bAlwrd hyk Hlwp Hlwp <smEy k>nh fstAn mlkp jmAl lbnAn lmA AxtArwhA mlkp jmAl lbnAn
mlkp jmAl lbnAn EndmA mnHwhA AltAj kAnt tlbs fstAnA mvl h*A bnfs Al$kl,Ayh,|h,<y,Ah
mlkp jmAl lbnAn EndmA mnHwhA AltAj kAnt tlbs fstAnA mvl h*A bnfs Al$kl,mys lbnAn ky mdwlhA AltAj tAHhA kAnt lAbsp wHd AlrwﭙـA mAm styl,mys-lbnAn ky mdwlhA AltAj tAHhA kAnt lAbsp wHd lAgwb kymA hkAk bEd nfs Alstyl,mlkp jmAl lbnAn lmA ETw~A AltAj kAnt lAbsp fstAn mtl hAd,mlkp jmAl lbnAn lmA >ETwhA AltAj kAnt tlbs fstAn zy h*A bnfs Al$kl
SHyH lkny lA >t*kr، r>ythA mrtyn >w vlAv ، lknny lA >t*kr,nsyt SH $fthA dwfwA wlA trwA fwA bSH nsyt,nsyt SH tfrjthA dwfwA wlA trwA fwA bSH nsyt,Sy bs mAny mt*krp mnyH $ftA $y mrtyn tlAtp bs mw mt*krp,mzbwT bs m$ mt*krp $wfthA mrtyn >w vlAvp bs m$ mt*krp
>lw >mynp,>lw >mynp,>lw >mynp,>lw >mynp,>lw >mynp
kyf AlHAl؟,sA qﺎ,sAfA,$lwnk,kyf AlHAl
hl >nt bxyr؟,wA$ rAky lAbAs,w$ rAky lAbAs,$lwnk,hw Ant mnyHp
bxyr w AlHmd llh،  lqd knt fy AlHmAm lm >smE AlnqAl,lAbAs AlHmdw llh knt fy lAsAldwbAn mA smEt$ AﻟﭙﻮrtAbl,lAbAs AlHmd llh >ny knt fy lAsAldwbAn mA smEt$ AﻟﭙﻮrtAbl,An$A' Allh bxyr,hw Ant mnyHp
|h HsnA l>nny AtSlt bk h*A AlSbAH ، AtSlt bk fy jyzy w AtSlt bk fy mwbylys,Ayh ElY hAdyk bﺎskw EyTt AlSbAH EyTlk fy jyzy w EyTlk fy mwbylys,|h ElY >dyk bﺎskw EyTt fy AlSbAH EyTlk fy djyzy w EyTlk fy Almwbylys,bxyr AlHmd llh knt bAlHmAm mA smEt AlmwbAyl,mnyHp w AlHmd llh knt fy AlHmAm wmA smEt$ AljwAl
>jl,Ayh,|h ElY >dyk bﺎskw EyTt fy AlSbAH EyTlk fy djyzy w EyTlk fy Almwbylys,|h Tyb l>ny AtSlt fyky Alywm AlSbH AtSlt fyky bjyzy w AtSlt fyky bmwbylys,|h Tyb l>ny AtSlt fyky AlSbH AtSlt fyky fy jyzy w AtSlt fyky fy mwbylys
vm EAwdt AlAtSAl bk HwAlY AltAsEp >w AlEA$rp ، AtSlt lkn lA $y',Ayh,|h,<y,Ah
vm EAwdt AlAtSAl bk HwAlY AltAsEp >w AlEA$rp ، AtSlt lkn lA $y',w zdt EyTlk mn bEd wHd AltsEp wlA AlE$rp hkAk EyTt kyfkyf,w zt EyTlk AmbEd wHd AltsEp wlA AlE$rp hkAk EyTt kyfkyf,wrjEt AtSlt fyky HwAly AltsEp >w AlE$rp AtSlt bs mA HdA rd,bEdyn rjEt AtSl fyky HwAly tsEp >w E$rp AtSlt bs wlA A$y
lm >rh fy AlSbAH,fy AlSbAH mA $ftw$,fy AlSbAH mA $ftw$,mA $ftw AlSbH,mA $ftw$ AlSbH
HsnA,Ayh,>hAh,Tyb,Tyb
hl *hbt <lY AljAmEp,TlEty lljAmEp,TlEty lljAmEp,rHty EAljAmEp,Ant rwHty EAljAmEp
lA lm >*hb Alywm,lAlA mA TlEt$ Alywm,>hA mA TlEt$ Alywm,rHty EAljAmEp,lA mA rHt$ Alywm
hl wSltk rsAlty AlbArHp؟,lHqk AlmysAj tAE AlbArH,wSlk AlmysAj tAE AlbArH,lA mA rHt Alywm,lA mA rHt$ Alywm
nEm wSltny w EndmA qr>thA AtSlt bk mbA$rp,Ayh lHqny qrytw AlSbAH jwst ky qrytw EyTtlk,hAh wSlny qrytw fy AlSbAH kymA jwst kymA qrytw bEd Eyt Twl,wSltk rsAlty mbArH,wSltk rsAlty AmbArH
>jl l>n AlbArHp lA >Elm ، ybdw >nk knt mtEbp w lm ttmkny mn AlAjAbp w lm >kn >mlk wHdAt l>tSl bk,Ayh bﺎskw AlbArH mA ElAbAly$ blAk knty EyAnp mA qdrty$ trﯾﭙﻮndy mA Endy$ HtY lkrydy bA$ nEyTlk,hAh wSlny qrytw fy AlSbAH kymA jwst kymA qrytw bEd Eyt Twl,<y wSltny w lmA qrytA AtSlt fyky fwrA,Ah wSltny w lmA qrythA AtSlt fyky ElY Twl
nEm bArk Allh fyk ،kmA >nny AlbArHp lm >tfqd  hAtf Alnjmp  l>nh  hAtf >my،  *lk AlxAS bAlnjmp >nA fqT mn ystEmlh EndmA   >HtAj l$xS mA  fhy  tmlk   dA}mA rSydA ،  f>stEmlh l>klm AlnAs l*lk lm >r AlrsAlp lw >rslthA fy jyzy lknt r>ythA AlbArHp lylA,Ayh bﺎskw AlbArH mA ElAbAly$ blAk knty EyAnp mA qdrty$ trﯾﭙﻮndy mA Endy$ HtY lkrydy bA$ nEyTlk,|h bﺎskw AlbArH mA ElY bAly$ blAk knty tEbAnp mA qdrty$ trﯾﭙﻮndy mA Endy$ HtY lkrydy bA$ nEyT lk,<y l>nw mbArH mA Erft ybdw >nk knt tEbAnp w mA Hsnty trdy w mA kAn Endy wHdAt l>tSl fyky,Ah E$An AmbArH m$ EArfp $klk knt tEbAnp wmA qdrty$ trdy w mA kAn$ Endy rSyd E$An >tSl fyky
nEm bArk Allh fyk ،kmA >nny AlbArHp lm >tfqd  hAtf Alnjmp  l>nh  hAtf >my،  *lk AlxAS bAlnjmp >nA fqT mn ystEmlh EndmA   >HtAj l$xS mA  fhy  tmlk   dA}mA rSydA ،  f>stEmlh l>klm AlnAs l*lk lm >r AlrsAlp lw >rslthA fy jyzy lknt r>ythA AlbArHp lylA,|h dwk yETyk AlSHp w AnA AlbArH mA $ft$ Altylyfwn  Alnjmp bﺎskw Altlyfwn hdA  tAE mAmA nwrmAlmwn tAE Alnjmp gyr >nA ly ndyhwlhA brk kwm nsHq AlEbAd w hy EndhA lkrydy fyh ndyh bA$ nhdr  byh mE lEbAd ElY hAdyk mA $ft$ AlmysAj lwkAn bEtyh fy djyzy rAny $ftw AlmysAj AlbArH fy Allyl,|h drk yETyk AlSHp w AnA AlbArH mA $ft$ Altylyfwn xlAh Alnjmp bﺎskw Altlyfwn >dA >w tAE mAmA nwrmAlmwn tAE Alnjmp gyr >nA ly ndyhwlhA brk kwm nHtAj lEbAd w hy EndhA lkrydy fyh nhzw b$ nHky byh mE lEbAd ElY dyk mA $ft$ AlmysAj kwn bEtyh fy djyzy rAny $ftw AlmysAj AlbArH fy Allyl,>y Allh yETyky AlEAfyp l>ny mbArH mA $ft tlfwn Alnjmp >bdA l>n hAd Altlfwn bAl>sAs l>my hAd Alnjmp >nA bs bAxdw lmA bylzmny HdA w hy dA}mA EndA wHdAt f>nA bAstEmlA yAhwn l>Hky mE AlnAs lhyk mA $ft AlrsAlp lw bEtyly EAljyzy knt $ftA mbArH bAllyl,Ah bArk Allh fyky kmAn AmbArH mA $wft$ jwAl Alnjmp bAlmrp l>nh hdAk AljwAl tbE mAm hdAk Alnjmp >nA bs Ally b>x*h lmA >HtAj HdA w hy EndhA rSyd dA}mA fbstEmlh E$An >klm AlnAs E$An hyk mA $ft$ AlrsAlp lw bEtyhA fy jyzy lknt $wfthA AmbArH fy Allyl
HsnA,Ayh,|h,mA$y,Tyb
AEtdt >n ttSly by bh*A Alrqm fqlt mn Almmkn >n h*A hw Al*y tstEmlynh dA}mA,>nA mAlfA tEyTyly bhAdA bzAf qlt blAk hAdA hw ly dAymn tstEmlyh,>nA mAlfA tEyTy ly b>dA qlt blAk >dA hw ly dAymA tstEmlyh,bAlEAdp btHky mEy mn hAlrqm qlt hAd hw Ally btstEmly ElY Twl,tEwdt Ank ttSly ElyA mn h*A Alrqm qlt ymkn h*A hw Ally btstEmlyh dA}mA
>nA Amr>p EAqr w zwjy ytmnY b$dp >n yrzq b<bn >w <bnp,AnA mAnjyb$ AldrAry w rAjly rAH ymwt ElY wld wlA Tflp,AnA mnjyb$ AldrAry w rAjly Hymwt ElY Tfl wlA Tflp,>nA mrp mA bjyb wlAd w jwzy H ymwt lyjyh $y wld >w bnt,>nA mrh mA btxlf$ w jwzy bytmnY ktyr Anh rbnA yETyh Abn >w bnt
fkrt >n >zwjh lEl Allh yrzqh,>nA qlt nzwjw kA$ mA ynwb Elyh rby,>nA qﻠﺖ nzwzw k$mA ynwb Elyh rby,>nA mrp mA bjyb wlAd w jwzy H ymwt lyjyh $y wld >w bnt,fkrt Any >jwzh ymkn rbnA yETyh
lmA*A lA ttbwn TflA trbwnh w tksbwn >jrA؟,wElAh mA tjybw$ wAHd rbywh wAdyw HsAntw,wElAh mA tjybw$ wAHd wlA rbywh wAdywA HsAntw,fkrt zwjw blky Allh byrzqw,fkrt Any >jwzh ymkn rbnA yETyh
lA lA,lAlA,lA,ly$ mA bttbnwA wld w btrbwh w btksbwA Hsntw,ly$ mA bttbnw$ wld trbwh w tksbwA Hsnth
>nA >ryd >n yrzq bTfl mn Slbh,>nA Hbytw yjyb wAHd mn Slbw,lA,lA lA,lA lA
$y' jmyl >nk tfkryn fy zwjk w lkn AElmy >n h*A AlAmr sytTlb mnk mjhwdA kbyrA l>n Algyrp fTrp fy Almr>p w lA ymkn lhA >n ttxlS mnhA,>nA Hbytw yjyb wAHd mn Slbw,>nA Hbytw yjyb wAHd mn Slbw,>nA bdy yAh yjyh wld mn Dhrw,>nA bdy Anh rbnA yETyh wlAd
$y' jmyl >nk tfkryn fy zwjk w lkn AElmy >n h*A AlAmr sytTlb mnk mjhwdA kbyrA l>n Algyrp fTrp fy Almr>p w lA ymkn lhA >n ttxlS mnhA,hw $y mlyH xmmty fy rAjlk bSH lAzm tErfy bly hAd Al$y rAyH yTlb mnk mjhwd kbyr ElAxATr$ Algyrp fTrp fy AlmrA w wAHd mAyqdr ynHyhAlhA,hw $y mlyH <nk xmmty fy rAjlk bSH lAzm tErfy <nw >dA Al$y rAyH yTlb mnk mjhwd kbyr l>nw Algyrp fTrp fy AlmrA w wAHd mAyqdr ynHyhAlhA,$y mnyH >nk tfkry bjwzk bs lAzm tErfy >nw AlmwDwE bytTlb mnk mjhwd kbyr l>n Algyrp TbE bAlmrp w mA fy mrp btqdr ttxlS mnA,A$y Hlw Ank btfkry fy jwzk bs btErfy h*A AlmwDwE bdw mnk mjhwd kbyr l>nh Algyrp fTrp fy Almrh w mA btqdr$ AnhA ttxlS mnhA
$y' |xr,HAjp AxrA,HAjp AxrY,$y tAny,A$y tAny
<*A >nt qblt b>n tDHy bh*h AlTryqp fhw k*lk mjbr ElY >n yqdr h*A Al>mr w >lA ytxlY Enk,<dA Ant qblty btDHyp kymA hAdy lAzm hw tAny ykwn rAjl mEAk w mA yxlyk$,<dA <nt qblty btDHyp kymA >dy lAzm hw tAnA ykwn rAjl mEAk w mA ytxlA$ Elyk,<*A Ant qblty tDHy hyk hw kmAn mjbwr yqd~r hAl$y w mA ytxlY Enk,<*A Ant rDyt Ank tDHy bh*h AlTryqp fhw kmAn mjbr ElY Anh yqdr h*A AlA$y w mA ytxlA$ Enk
>tElmwn >n fy twns tfDl Almr>p >n ykwn lzwjhA Sdyqp ElY >n ytzwj ElyhA,wAllh fy twns tqbl mrA <nw rAjlhA tkwn Endw SAHbtw w mA tqbl$ <nw yzwj ElyhA,wAllh fy twns tqbl mrA <nw rAjlhA tkwn Endw SAHbtw w mA tqbl$ <nw yzwz ElAhA,btErfw >nw btwns Almrp btfDl ykwn End jwzA SAHbp ElY >nw ytzwj ElyhA,btErfwA Anh fy twns btfDl Almrh Anh ykwn ljwzhA SAHbp ElY Anh ytjwz ElyhA
qbl Edp >yAm >rAd >Hd Altwnsyyn >n ynAq$ AlmwDwE w qdm HjjA mn Alqr|n Alkrym w qAl lhm >t>x*n mn Alqr|n mA yEjbkn,hAdAk AlnhAr wAHd twnsy Hb zEmp ynAq$ AlmwDwE yEny w ETAhm dyzArqﻴﻤﻮn mn Alqr|n w qAlhm kyfmA$ ntwmA tdyw mAlqr|n gyr wA$ yEjbkm,>dAk AlnhAr wAHd twnsy Hb zEmh ynAq$ AlmwDwE yEny w ETAhm dyzArqﻴﻤﻮn mn Alqr'An w qﻠﮭﻢ kyfmAh ntm tdywA mAlqr'An gyr w$ yEjbkm,btErfw >nw btwns Almrp btfDl ykwn End jwzA SAHbp ElY >nw ytzwj ElyhA,qbl k*A ywm wAHd mn Altwnsyyn bdw Anh ynAq$ AlmwDwE w HT Hjj mn Alqr|n Alkrym w qAlhm Antw btAxdwA mn Alqr|n Ally byEjbkwA
lkn h*A >mr yfwq qdrthA,bSH Allh gAlb  mA$y bydhA,bSH Allh gAlb >w m$y bydAhA,mn km ywm Hb wAHd twnsy ynAq$ AlmwDwE w jblwn Hjj mn Alqr|n Alkrym w ql~wn >ttx*n mn Alqr|n mA yEjbkn,qbl k*A ywm wAHd mn Altwnsyyn bdw Anh ynAq$ AlmwDwE w HT Hjj mn Alqr|n Alkrym w qAlhm Antw btAxdwA mn Alqr|n Ally byEjbkwA
>tElmyn mA*A؟,ElAbAlk,ElY bAlk w$,bs AlmwDwE >kbr mn Eqlwn,bs h*A AlmwDwE fwq qdrthA
tErD lnqd lA*E w nEt bAlmtTrf w Almt$dd,ndbwlw sEdw EAd gyr AlxwAnjy w AlmnAfq,ElY bAlk w$,btErfy $w,btErfy ly$
>mA >Hd Altwnsyyn flmA tzwj mrp vAnyp Akt$ft zwjth Al>mr frfEt dEwY Ddh,ndbwlw sEdw EAd gyr AlxwAnjy w AlmnAfq,ndbwlwA sEdw EAdt gyr lxwAnjy w AlmnAfq ATyr Elyh,bhdlwh w qAlwlw mtTrf w mt$dd,AnqAlw klAm lA*E wqAlwlw mtTrf wmt$dd
>mA >Hd Altwnsyyn flmA tzwj mrp vAnyp Akt$ft zwjth Al>mr frfEt dEwY Ddh,mrp wAHd twnsy Azwj wHdp ElY mrtw fAqt byh mrtw A$kAt byh,mrp wAHd twnsy Azwz wHdp ElY mrtw fAqt byh mrtw A$kAt byh,wwAHd tAny twnsy tjwz wHdp tAnyp |m lmA Erft mrtw rfEt dEwY Elyh,>mA wAHd mn Altwnsyyn lmA tjwz mrp tAnyp Akt$ft mrth AlmwDwE frfEt dEwp Ddh
f*hb <lY AlmHAmy,rAH zEmp llmHAmy,rAH llmHAmy,frAH EAlmHAmy,frAH llmHAmy
flmA rwY llmHAmy HkAyth، qAl lh : mA*A fElt bnfsk؟,ky HkAlw AlHkAyp qAlw AlmHAmy rAk xlythA ElY rwHk,ky HkAlw lHkAyp ql lh AlmHAmy rAk xlytAhA ElY rwHk,lmA AlmHAmy $Af AldEwY ql~w lk $w sAwyt bHAlk >nt,flmA $Af llmHAmy HkAyth qAlh Ay$ swyt bHAlk
w qAl lh EndmA ys>lk AlqADy En Almr>p Al>xrY <dE >nhA Sdyqtk,ﻧqwlk ky ysqsyk AlqADy qwlw mAkwbﻴﻦ,ﻧqﻮlk ky ysqsyk AlqADy ql lh mAkwbﻴﻦ,wql~w lmA bys>lk AlqADy En Almrp AltAnyp qlw hy SAHbty,w qAlh lmA ys>lk AlqADy En Almrh AltAnyp qlh AnhA SAHbtk
w bAlfEl HSl ElY AlbrA'p,AybAn xrj brA'p,Ay-bAn xrjw brA'p,wql~w lmA bys>lk AlqADy En Almrp AltAnyp qlw hy SAHbty,w fElA >x* AlbrA'p
yA <lhy w AlEyA* bAllh,nndb w AlEyAd bAllh,Ah nndb w AlEyAd bAllh,wbAlfEl TlE brA'p,w fElA >x* AlbrA'p
<lA >nh lys shlA ElY Almr>p >n tqwl lzwjhA <*hb w tzwj >xrY,bSH mA$y sAhlp tAny mrA ﺗqwl lrAjlhA rwH Azwj wHdxrA,>y m$y sAhlp tAnA mrA ﺗqﻮl lrAjlhA rwH Azwz wHdp >xrY,yA lTyf w AlEw* bAllh,yA <lhy w AlEyA* bAllh
>nA $xSyA lw knt mHl h*h Almr>p lqlt lh : HsnA <*hb w tzwj lkn lA txbrny b>mrhA w lA tErfny ElyhA,>nA AlHq AlHq lwkAn jyt fy blASt hAd lmrA ﻧqwlw rwH Azwj ElY rwHk bSH mA tsmEny mA twryhAly mA wAlw,>y m$y sAhlp tAnA mrA ﺗqﻮl lrAjlhA rwH Azwz wHdp >xrY,bs kmAn mw shlp EAlwHdp tqwl ljwzA rHw tzwj wHdp tAnyp,<lA Anh m$ shl ElY Almrh AnhA tqwl ljwzhA rwH w tjwz wHdp tAnyp
h*A SHyH,>nA AlHq AlHq lwkAn jyt fy blASt hAd lmrA ﻧqwlw rwH Azwj ElY rwHk bSH mA tsmEny mA twryhAly mA wAlw,>nA AlHq AlHq kwn jyt fy blASt hAd lmrA ﻧqﻮlw rwH Azwz ElY rwHk bSH mA tsmEny mA tnEthAly mA wAlw,>nA $xSyA lw knt mHl hAlmrp lqltl~w mA$y rwH tjwz bs mA txbrny En~A $y w lA tEr~fny ElyhA,>nA $xSyA lw knt mHl h*h Almrh lqltlh Tyb rwH w tjwz bs mA txbrny$ bmwDwEhA w mA tErfny$ ElyhA
h*A SHyH,Ayh SH,hAh SH,mzbwT,h*A mzbwT
<*A knt qAdrA ElY >n twfr lhA bytA lwHdhA،  w ywm lA t>ty <lY Albyt >Erf >nk EndhA w AnthY AlAmr,<lA tqdr dyrlhA dAr wHdhA w nhAr mAtjy$ nErf bly rAk EndhA w frAt,kAn tqdr dyrlhA dAr wHdhA w nhAr mA tjy$ nErf bly >k EndhA w fDt,<*A btqdr t>mnlA byt lHAlA w ywm Ally mA btjy fyh EAlbyt bErf >nk EndA w xAlSyn,<*A knt qAdr Ank twfrlhA dAr lHAlhA w Alywm Ally mA btjy$ EAldAr bErf Ank EndhA w xlS
>Erf Amr>p kAnt tskn bjwArnA fymA mDY lm tnjb <lA Al<nAv,wAllh nErf wHdp kAnt tskn qdAmnA bkry jAbt gyr lbnAt,nErf wHdp kAnt tskn bHdAnA bkry jAbt gyr AlbnAt,bErf mrp kAnt jArtnA bAlzmAnAt mA kAnt tjyb gyr AlbnAt,bErf mrh kAnt sAknp jnbnA zmAn mA xlft$ <lA bnAt
qAlt lzwjhA <*hb w tzwj wAHdp >xrY lEl Allh yrzqk bAlwld,qAlt lrAjlhA rwH zyd Atzwj blAk yjyk wld,qﺎlt lrAjlhA rwH zyd Azwz blAk yjyk Tfl,qAlt ljwzA rwH tjwz wHdp tAnyp brky Allh bybEtlk Sby,qAlt ljwzhA rwH w tjwz wHdp tAnyp ymkn Allh yETyk Alwld
qAl lhA lA >ryd >n >smE h*A AlklAm mrp >xrY,qAlhA hw mA tEAwdy$ Alhdrp hAdy,qwly lhA hw mA bqty$ tEAwdy Alhdrp >dy,qAlt ljwzA rwH tjwz wHdp tAnyp brky Allh bybEtlk Sby,qAlhA bdy$ >smE h*A AlklAm mrp tAnyp
<lA >nhA >Srt w qAlt lh >nhA mwAfqp,qAltlw  rAk msAmH,qtlw rwH brk >k msAmH,qlhA mA bdy AsmE mnk hAlHky mrp tAnyp,qAlhA bdy$ >smE h*A AlklAm mrp tAnyp
bl >nhA hy Alty zwjth,wjAbtlw hy wHdp,w jAbtlw hy wHdp,bs hy >Srt w qAltlw >nhA mwAfqp,<lA AnhA >Srt w qAltlh AnhA mwAfqp
w h*A mA kAn، rzq bAbn mn Almrp AlAwlY,wkymA kAn AlHAl mAlmrp AllwlA jAbt wld,w jAbtlw hy wHdp,mw bs hyk kmAn hy Ally jwztw,HtY hy Ally jwzth
lkn mE xrwjh mn bTn >mh >x*h lzwjth Al>wlY,wkymA kAn AlHAl mAlmrp AllwlA jAbt wld,w >kAkA kAn mAlmrp Al>wlY bEd jAbt Tfl,wAllh bEtlw Sby mn >wl bTn,w zy mA kAn rbnA >ETAh wld mn Almrp Al>wlY
lkn mE xrwjh mn bTn >mh >x*h lzwjth Al>wlY,bSH kymA ﻳqwlw gyr AzAd AdAh lmrtw AllwlA,bSH kymA ﻳqﻮlw mAlHfrp AdAh lmrtw Al>wlY,bs mn TlEtw mn bTn >mw >xdtw Almrp Al>wlAnyp,lkn mn Hd mA TlE mn bTn >mh >x*h lmrth Al>wlY
vm AnZry sbHAn Allh >njbt Almr>p AlvAnyp TflA >xr,w $wfy sbHAn Allh zAdt AlmrA AltAnyp jAbt wld wHdAxr,w $wfy sbHAn Allh zAdt AlmrA AltAnyp jAbt Tfl wHdwxr,wbEdyn $wfy sbHAn Allh jAbt Almrp AltAnyp Sby tAny,bEdyn $wfy sbHAn Allh xlft Almrh AlvAnyp wld vAny
>mA Al>wl f>SbH ynAdy zwjp >byh >my w >mh AlHqyqyp ynAdyhA xAlty,w hAdAk Allwl EAd mrt bAbAh yEyTlhA ymA w mAmAh tAE AlSH yEyTlhA xAlty,w >dAkA lwl EAd mrt bAbAh yEyTlhA ywmA w mAmAh SH-SH yEyTlhA xAlty,>mA Al>wl fSAr ynAdy lmrp >bwh >my w l>mw AlHqyqyp ynAdylA xAlty,>mA Al>wl fSAr ynAdy mrt >bwh Amy w Amh AlHqyqyp ynAdyhA xAlty
>my w hl tstTyE <mr>p >n tHb TflA lm tnjbh,mAmA w AlmrA tqdr tHb wld mA$y wlydhA,mAmA w mrA tqdr twAlf ElY Tfl m$ wldhA,yA mw ly$ fy~A mrp tHb Abn mA xl~ftw,Amy w hy btqdr mrh AnhA tHb <bn mA xlftw$ hy
>yEql h*A yA bny؟,hkA yA wlydy,>nndb > wldy,yA mw ly$ fy~A mrp tHb Abn mA xl~ftw,mEqwl h*A yA bnyy
<n Al>m Alty trby >kvr mn Al>m Alty tld,ly trby Aktr mly twld,ly trby Aktr mly twld,mEqwl hAl$y yA Abny,mEqwl h*A yA bnyy
kyf w hy Alty trbyh fy HDnhA w yftH Eynyh ElY wjhhA,kyfA$ trbyh hy wyHl Eynyh ylqAhA hy,kymA ﻳqﻮlw w$byk trbyh hy wyHl Eynyh ﻳﻠqﺎhA hy,Al>m Ally btrby >ktr mn Al>m Ally btxl~f,Al<m Ally btrby >ktr mn Al<m Ally btwld
lA ymkn >lA tHbh,bAlsyf tHbw,kymA ﻳqﻮlw w$byk trbyh hy wyHl Eynyh ﻳﻠqﺎhA hy,kyf w hy Ally btrbyh ElY xDnA w byftH Eynw ElY w$~A,kyf w hy Ally btrbyh fy HDnhA w yftH Eynyh ElY wjhhA
sArp AjmEy >grADk w A*hby ltnAmy، dEyny bslAm,bAlsyf tHbw,bsyf tHbw,mA fy~A <lA tHbw,m$ mmkn AnhA mA tHbh
sArp AjmEy >grADk w A*hby ltnAmy، dEyny bslAm,hyA sArp >glqy wrwHy trqdy xlynA trAnkyl hAyA,hyA sArp >qfly wrwHy trqﺪy xlynA trAnkyl hAy,sArp lmy grADk w rwHy nAmy w dEyly,sArp lmy AgrADk w rwHy nAmy wxlyny fy xAly
>my mA hy AlHlwyAt Alty snHDrhA؟,mAmA wA$ ndyrw qAtw,mAmA w$ ndyrw qAtw,>my $w bdnA nsAwy Hlw,ymA Ay$ HnHDr HlwyAt
HDry mA t$A}yn,dyry wA$ tHby,dyry w$ tHby,sAwy Ally bdk yAh,HDry Ally bdk AyAh
Almhm >n ykwn TryA fHsb,Almhm dyrwnA wAHd Try brk,Almhm dyrwnA wAHd Try brk,bs Almhm ykwn Try,Almhm Anh ykwn Try wbs
w mn* mtY lm tkn HlwyAtnA Tryp؟,w mn wqtA$ HnA AlqAtw tAEnA mA yjy$ Try,w mn wqtAh HnA AlqAtw tEnA mA yjy$ Try,bs Almhm ykwn Try,w mn AmtY mA kAnt$ HlwyAtnA Tryp
>tEtqdwn >nkm tHsnwn SnE AlHlwY,mdyynhA fy rwAHkm tErfw ATybw,yA mdyynhA fy rwAHkm tErfw ATybw,wmn <ymtY mA kAn AlHlw tbEnA Try,w mn AmtY mA kAnt$ HlwyAtnA Tryp
<lyk Eny >yhA AlkA*b,$w AlkdAb,$w AlkdAb,mftkryn HAlkwn btErfwA tsAwwA Hlw,Antw btfkrwA Ankw btzbTwA EmAyl AlHlw
dEk mnh yA >my hw yHAwl >n yzEjk w >nt tSgyn <lyh,AxTyk mnw mAmA hw HAb ynyrfـyk w <nt AtbEy fyh,$w AlkdAb,Hl~ Eny yA k*~Ab,sybk mny yA k*Ab
